"geo","state"
"Bafua","Aboda"
"Arrah","Aboda"
"Destaltu","Aboda"
"Kiziltepe","Aboda"
"Pirozero","Aboda"
"Belton","Aboda"
"Riatu","Aboda"
"Nishikawa","Aboda"
"Jhamb","Aboda"
"Shaxilong","Aboda"
"Sargati","Aboda"
"Indamba","Aboda"
"Jianggui","Aboda"
"Camire","Aboda"
"Tuulna","Aboda"
"Hoshkizu","Aboda"
"Babel","Aboda"
"Duralde","Aboda"
"Pavlohrad","Aboda"
"Irisdale","Aboda"
"Rwengoha","Aboda"
"Dzhali","Aboda"
"Ballyvoye","Aboda"
"Hoophuizen","Aboda"
"Zitkovica","Aboda"
"Kasad","Aboda"
"Okaperre","Aboda"
"Pudi","Aboda"
"Salazar","Aboda"
"Harania","Aboda"
"Botija","Aboda"
"Ninkovici","Aboda"
"Giwatazo","Aboda"
"Canabina","Aboda"
"Errego","Aboda"
"Palagimata","Aboda"
"Blocksdorf","Aboda"
"Kumbi","Aboda"
"Anglity","Aboda"
"Ghairaifah","Aboda"
"Punzon","Aboda"
"Hoekelum","Aboda"
"Biburg","Aboda"
"Beisagola","Aboda"
"Ngatkouma","Aboda"
"Cajol","Aboda"
"Averdung","Aboda"
"Gabrovac","Aboda"
"Kikoge","Aboda"
"Milau","Aboda"
"Dobryn","Aboda"
"Mandak","Aboda"
"Glandesan","Aboda"
"Kecikoy","Aboda"
"Coraopolis","Aboda"
"Sveshnikov","Aboda"
"Cerenec","Aboda"
"Dzhampali","Aboda"
"Lwetauk","Aboda"
"Alumeta","Aboda"
"Palele","Aboda"
"Tanbouye","Aboda"
"Momoda","Aboda"
"Lajes","Aboda"
"Jhongfu","Aboda"
"Neri","Aboda"
"Fatumtasa","Aboda"
"Muchemba","Aboda"
"Dogabari","Aboda"
"Hamakwa","Aboda"
"Poniponiki","Aboda"
"Soumard","Aboda"
"Ezit","Aboda"
"Muandu","Aboda"
"Popovtsu","Aboda"
"Skalmeraas","Aboda"
"Namaboeaja","Aboda"
"Chumical","Aboda"
"Kampumbi","Aboda"
"Zougou","Aboda"
"Dworzysk","Aboda"
"Krapje","Aboda"
"Foryd","Aboda"
"Nkwagu","Aboda"
"Barkhatnyy","Aboda"
"Kalegen","Aboda"
"Ostrec","Aboda"
"Dostyk","Aboda"
"Ishasirra","Aboda"
"Csucstelep","Aboda"
"Rogu","Aboda"
"Dianteiro","Aboda"
"Shitian","Aboda"
"Kasinggali","Aboda"
"Samurkan","Aboda"
"Zahvan","Aboda"
"Visconoja","Aboda"
"Komanica","Aboda"
"Viossange","Aboda"
"Bugarevo","Aboda"
"Sadmani","Aboda"
"Aricabamba","Aboda"
"Malayep","Aboda"
"Sirocco","Aboda"
"Mocho","Aboda"
"Cogar","Aboda"
"Romana","Aboda"
"Sedaljka","Aboda"
"Plat","Aboda"
"Torkova","Aboda"
"Idolo","Aboda"
"Ladovo","Aboda"
"Ponte","Aboda"
"Damilisan","Aboda"
"Kakolewice","Aboda"
"Lapardhe","Aboda"
"Kaureja","Aboda"
"Ankifio","Aboda"
"Twarogi","Aboda"
"Nyemped","Aboda"
"Kebesa","Aboda"
"Ponnabya","Aboda"
"Paghman","Aboda"
"Kararo","Aboda"
"Kankalab","Aboda"
"Zebina","Aboda"
"Dorloo","Aboda"
"Ayot","Aboda"
"Enangbo","Aboda"
"Namtang","Aboda"
"Sapantandi","Aboda"
"Kuhjerd","Aboda"
"Bozkower","Aboda"
"Cosque","Aboda"
"Zeytunat","Aboda"
"Retreat","Aboda"
"Limpio","Aboda"
"Chacopata","Aboda"
"Madhuraj","Aboda"
"Uthwaro","Aboda"
"Lerrnanist","Aboda"
"Atucpaccha","Aboda"
"Nitumbenum","Aboda"
"Monchakly","Aboda"
"Kawalika","Aboda"
"Madjaila","Aboda"
"Loina","Aboda"
"Bolbo","Aboda"
"Navasota","Aboda"
"Meloe","Aboda"
"Chishang","Aboda"
"Turno","Aboda"
"Gargoyan","Aboda"
"Foruz","Aboda"
"Hedohekumi","Aboda"
"Ranmiao","Aboda"
"Remoncourt","Aboda"
"Tlogopojok","Aboda"
"Sikan","Aboda"
"Canjerana","Aboda"
"Saucilo","Aboda"
"Osovets","Aboda"
"Sibabudi","Aboda"
"Majherati","Aboda"
"Haweida","Aboda"
"Vigneaux","Aboda"
"Zoungakpio","Aboda"
"Rejalu","Aboda"
"Wschowa","Aboda"
"Ivagu","Aboda"
"Shatylovka","Aboda"
"Kamanawala","Aboda"
"Gaolang","Aboda"
"Kaldus","Aboda"
"Hered","Aboda"
"Guilmago","Aboda"
"Nacolo","Aboda"
"Banit","Aboda"
"Dovrus","Aboda"
"Gingoes","Aboda"
"Prnici","Aboda"
"Douroszyce","Aboda"
"Nipita","Aboda"
"Lamosegga","Aboda"
"Bonea","Aboda"
"Ezhol","Aboda"
"Tantangan","Aboda"
"Silgord","Aboda"
"Kepner","Aboda"
"Konczyska","Aboda"
"Mogate","Aboda"
"Berano","Aboda"
"Petarnitsa","Aboda"
"Cermans","Aboda"
"Mwelemba","Aboda"
"Jowdeleh","Aboda"
"Jintanzhen","Aboda"
"Bernardowo","Aboda"
"Toura","Aboda"
"Pozocane","Aboda"
"Makawa","Aboda"
"Dorado","Aboda"
"Fetais","Aboda"
"Kolorai","Aboda"
"Pestel","Aboda"
"Sadna","Aboda"
"Ugthorpe","Aboda"
"Ganaram","Aboda"
"Sage","Sintbu"
"Tanabay","Sintbu"
"Diarabana","Sintbu"
"Hoummaiss","Sintbu"
"Makajung","Sintbu"
"Zdunek","Sintbu"
"Kakeputra","Sintbu"
"Hunan","Sintbu"
"Andoukou","Sintbu"
"Kirovo","Sintbu"
"Yousae","Sintbu"
"Mokalla","Sintbu"
"Kendenan","Sintbu"
"Besenthal","Sintbu"
"Chacaraya","Sintbu"
"Gadugan","Sintbu"
"Shuhah","Sintbu"
"Liantangce","Sintbu"
"Sesga","Sintbu"
"Moca","Sintbu"
"Mifufurta","Sintbu"
"Kisnemedi","Sintbu"
"Juroki","Sintbu"
"Talba","Sintbu"
"Huangdujie","Sintbu"
"Sokourabo","Sintbu"
"Mahruqi","Sintbu"
"Tahmursat","Sintbu"
"Mambo","Sintbu"
"Maria","Sintbu"
"Chachin","Sintbu"
"Esanso","Sintbu"
"Lobok","Sintbu"
"Matipuire","Sintbu"
"Chilemba","Sintbu"
"Ghonchi","Sintbu"
"Falang","Sintbu"
"Meslieres","Sintbu"
"Dikati","Sintbu"
"Spriet","Sintbu"
"Kyankonyo","Sintbu"
"Rybakovo","Sintbu"
"Claras","Sintbu"
"Malahra","Sintbu"
"Sazhnov","Sintbu"
"Maocaogou","Sintbu"
"Ngueri","Sintbu"
"Prilep","Sintbu"
"Repon","Sintbu"
"Luscapampa","Sintbu"
"Jordaneno","Sintbu"
"Seyyedal","Sintbu"
"Bokale","Sintbu"
"Tauhundor","Sintbu"
"Bazagizia","Sintbu"
"Pompierre","Sintbu"
"Marikatti","Sintbu"
"Peco","Sintbu"
"Dromard","Sintbu"
"Dounguel","Sintbu"
"Ticropo","Sintbu"
"Kathagen","Sintbu"
"Mapulanga","Sintbu"
"Akresse","Sintbu"
"Kadirno","Sintbu"
"Mniewo","Sintbu"
"Untersteig","Sintbu"
"Greencroft","Sintbu"
"Colaceni","Sintbu"
"Baille","Sintbu"
"Leachville","Sintbu"
"Sebreglie","Sintbu"
"Uryvki","Sintbu"
"Malomseg","Sintbu"
"Taihechang","Sintbu"
"Antonis","Sintbu"
"Alyas","Sintbu"
"Mbadie","Sintbu"
"Condormaca","Sintbu"
"Ziegelbach","Sintbu"
"Paradera","Sintbu"
"Tepeonu","Sintbu"
"Gjerja","Sintbu"
"Kulaman","Sintbu"
"Sahuaro","Sintbu"
"Kurhavand","Sintbu"
"Ikurumi","Sintbu"
"Abzhaqva","Sintbu"
"Mankial","Sintbu"
"Pradenilla","Sintbu"
"Namazkin","Sintbu"
"Tebi","Sintbu"
"Koroumba","Sintbu"
"Rauma","Sintbu"
"Jazira","Sintbu"
"Rondovici","Sintbu"
"Fierro","Sintbu"
"Jehangirai","Sintbu"
"Kugurluy","Sintbu"
"Kukas","Sintbu"
"Tangui","Sintbu"
"Unzenberg","Sintbu"
"Songhu","Sintbu"
"Roundfort","Sintbu"
"Liubu","Sintbu"
"Bambli","Sintbu"
"Galyantsi","Sintbu"
"Betabli","Sintbu"
"Cubonje","Sintbu"
"Migkawa","Sintbu"
"Kasinwungu","Sintbu"
"Jinggan","Sintbu"
"Haikouwei","Sintbu"
"Treen","Sintbu"
"Sorofena","Sintbu"
"Yaramand","Sintbu"
"Renslow","Sintbu"
"Alamelek","Sintbu"
"Tezgecer","Sintbu"
"Jirshar","Sintbu"
"Zhendai","Sintbu"
"Kambisa","Sintbu"
"Garasha","Sintbu"
"Khrsovo","Sintbu"
"Kwekongo","Sintbu"
"Lisi","Sintbu"
"Pandobu","Sintbu"
"Brito","Sintbu"
"Kiraiku","Sintbu"
"Rakubo","Sintbu"
"Aynyusumok","Sintbu"
"Skolkovo","Sintbu"
"Karpusta","Sintbu"
"Huechambo","Sintbu"
"Darro","Sintbu"
"Montoku","Sintbu"
"Falerna","Sintbu"
"Vyzhegsha","Sintbu"
"Germania","Sintbu"
"Mputi","Sintbu"
"Nsage","Sintbu"
"Calanaga","Sintbu"
"Melekhi","Sintbu"
"Pomarez","Sintbu"
"Brcve","Sintbu"
"Telheiros","Sintbu"
"Maroulette","Sintbu"
"Sopenmaki","Sintbu"
"Bedouet","Sintbu"
"Neihuzi","Sintbu"
"Bornabad","Sintbu"
"Nagoryane","Sintbu"
"Estroil","Sintbu"
"Shudchyay","Sintbu"
"Prilekskiy","Sintbu"
"Trbusnica","Sintbu"
"Herandan","Sintbu"
"Kounyo","Sintbu"
"Tarasenka","Sintbu"
"Albin","Sintbu"
"Ilabaya","Sintbu"
"Abovce","Sintbu"
"Janschabad","Sintbu"
"Uzunalan","Sintbu"
"Bumbo","Sintbu"
"Baddar","Sintbu"
"Khavametsa","Sintbu"
"Sanchakou","Sintbu"
"Sutka","Sintbu"
"Kwidawa","Sintbu"
"Chengao","Sintbu"
"Babareta","Sintbu"
"Moosic","Sintbu"
"Santja","Sintbu"
"Shikrapur","Sintbu"
"Mazerat","Sintbu"
"Donea","Sintbu"
"Dongzili","Sintbu"
"Kyzylata","Sintbu"
"Bubenets","Sintbu"
"Tambisha","Sintbu"
"Perez","Sintbu"
"Ikei","Sintbu"
"Kutinci","Sintbu"
"Nordanger","Sintbu"
"Bozagba","Sintbu"
"Laowu","Sintbu"
"Vitrimont","Sintbu"
"Vinvale","Sintbu"
"Wrocieryz","Sintbu"
"Jinai","Sintbu"
"Wami","Sintbu"
"Taingy","Sintbu"
"Catakguney","Sintbu"
"Atucmachay","Sintbu"
"Tupitana","Sintbu"
"Nyagatugu","Sintbu"
"Chajubong","Sintbu"
"Picones","Sintbu"
"Maruvila","Sintbu"
"Unterau","Sintbu"
"Quingonde","Sintbu"
"Boinanguo","Sintbu"
"Ahuiran","Sintbu"
"Fangge","Sintbu"
"Yunak","Sintbu"
"Lacitelek","Sintbu"
"Beliet","Sintbu"
"Borho","Sintbu"
"Guogongshu","Sintbu"
"KwaNdesane","Sintbu"
"Kistenevo","Sintbu"
"Shengziyan","Sintbu"
"Zobete","Sintbu"
"Rolvshus","Sintbu"
"Sicacate","Sintbu"
"Sabar","Sintbu"
"Bethleem","Sintbu"
"Mikashkin","Sintbu"
"Kola","Sintbu"
"Bongol","Sintbu"
"Venteuil","Sintbu"
"Suopo","Sintbu"
"Tusari","Sintbu"
"Hansodok","Sintbu"
"Cantanha","Sintbu"
"Bougolon","Sintbu"
"Zuichen","Sintbu"
"Loumbo","Sintbu"
"Fiez","Sintbu"
"Bogemka","Sintbu"
"Teregayevo","Sintbu"
"Bilgili","Sintbu"
"Gosaingaon","Sintbu"
"Ankera","Sintbu"
"Samsonovka","Sintbu"
"Garrisa","Sintbu"
"Kyamungu","Sintbu"
"Akorwet","Sintbu"
"Bupuyuga","Sintbu"
"Hardzis","Sintbu"
"Fasiliyah","Sintbu"
"Burghead","Sintbu"
"Latisonki","Sintbu"
"Keeters","Sintbu"
"Sakotinac","Sintbu"
"Diemoz","Sintbu"
"Youzi","Sintbu"
"Asemkau","Sintbu"
"Yeykerik","Sintbu"
"Paygowli","Sintbu"
"Ashka","Sintbu"
"Sagulsaf","Sintbu"
"Gisovu","Sintbu"
"Kembarawa","Sintbu"
"Chahuteau","Sintbu"
"Senjedeh","Sintbu"
"Cagnipa","Sintbu"
"Bridell","Sintbu"
"Tianliaopu","Sintbu"
"Metemma","Sintbu"
"Kaputo","Sintbu"
"Lelicani","Sintbu"
"Mane","Sintbu"
"Sabichin","Sintbu"
"Lauriere","Sintbu"
"Boihela","Sintbu"
"Bianchi","Sintbu"
"Punahuasi","Sintbu"
"Moshuriv","Sintbu"
"Hokota","Sintbu"
"Bulgurcu","Sintbu"
"Ekoarmufua","Sintbu"
"Wanko","Sintbu"
"Nouri","Sintbu"
"Saghuyeh","Sintbu"
"Riceton","Sintbu"
"Tamanca","Sintbu"
"`Usfan","Sintbu"
"Uturango","Sintbu"
"Safadasht","Sintbu"
"Kambos","Sintbu"
"Rajika","Sintbu"
"Kumotemi","Sintbu"
"Gyavar","Sintbu"
"Faarax","Sintbu"
"Kaliwates","Sintbu"
"Zokogo","Sintbu"
"Abvoura","Sintbu"
"Quri","Sintbu"
"Beltno","Sintbu"
"Sarsbal","Sintbu"
"Varihokan","Sintbu"
"Pricac","Sintbu"
"Toungar","Sintbu"
"Anap","Sintbu"
"Gradnitza","Sintbu"
"Neyukan","Sintbu"
"Vyritsa","Sintbu"
"Dalupu","Sintbu"
"Kurtal","Sintbu"
"Maseyevo","Sintbu"
"Bertai","Sintbu"
"Alikrou","Sintbu"
"Mangaldei","Sintbu"
"Plaza","Sintbu"
"Tavern","Sintbu"
"Tany","Sintbu"
"Bartnieki","Sintbu"
"Delmella","Sintbu"
"Kunuku","Sintbu"
"Mladotice","Sintbu"
"Shortanbay","Sintbu"
"Nanjiangu","Sintbu"
"Sher","Sintbu"
"Flieren","Sintbu"
"Alivetti","Sintbu"
"Mwauluka","Sintbu"
"Orjahovo","Sintbu"
"Bahoke","Sintbu"
"Boleri","Sintbu"
"Pinola","Sintbu"
"Nioroson","Sintbu"
"Garmak","Sintbu"
"Pishcopeja","Sintbu"
"Kianang","Sintbu"
"Agodo","Sintbu"
"Andrantabe","Sintbu"
"Masau","Sintbu"
"Manjan","Sintbu"
"Sambali","Sintbu"
"Revsbotn","Sintbu"
"Mostkowo","Sintbu"
"Cozar","Sintbu"
"Hero","Sintbu"
"Tina","Sintbu"
"Maguava","Sintbu"
"Tipili","Sintbu"
"Beusingsen","Sintbu"
"Holu","Sintbu"
"Figueras","Sintbu"
"Golok","Sintbu"
"Luoxingcun","Sintbu"
"Desenzano","Sintbu"
"Baskaya","Sintbu"
"Oumre","Sintbu"
"Kailie","Sintbu"
"Nadong","Sintbu"
"Maozhang","Sintbu"
"Nelesovice","Sintbu"
"Minangsari","Sintbu"
"Mpebougou","Sintbu"
"Sungeri","Sintbu"
"Taougrit","Sintbu"
"Borowali","Sintbu"
"Kanani","Sintbu"
"Yawng","Sintbu"
"Atiroto","Sintbu"
"Makongolo","Sintbu"
"Dimasari","Sintbu"
"Topouzlare","Sintbu"
"Msabeh","Sintbu"
"Progreso","Sintbu"
"Cranmore","Sintbu"
"Kinyama","Sintbu"
"Wyckles","Sintbu"
"Naktala","Sintbu"
"Cantujaon","Sintbu"
"Banco","Sintbu"
"Bordas","Sintbu"
"Itteren","Sintbu"
"Gabao","Sintbu"
"Kekaji","Sintbu"
"Pobedino","Sintbu"
"Yexi","Sintbu"
"Rosman","Sintbu"
"Vernusse","Sintbu"
"Montuanaka","Sintbu"
"Guatehari","Sintbu"
"Binkaya","Sintbu"
"Meknassete","Sintbu"
"Nikrab","Sintbu"
"Germysh","Sintbu"
"Balykino","Sintbu"
"Pirtnuora","Sintbu"
"Nigan","Sintbu"
"Erdotelek","Sintbu"
"Mulatos","Sintbu"
"Kazi","Sintbu"
"Westerbrak","Sintbu"
"Ghanigay","Sintbu"
"Sommal","Sintbu"
"Tabelchia","Sintbu"
"Elima","Sintbu"
"Nhamedola","Sintbu"
"Dhankunda","Sintbu"
"Pricojo","Sintbu"
"Fraike","Sintbu"
"Guichao","Sintbu"
"Bevantaka","Sintbu"
"Cahone","Sintbu"
"Guchuman","Sintbu"
"Saujagua","Sintbu"
"Roskovec","Sintbu"
"Karmo","Sintbu"
"Tangsifang","Sintbu"
"Cusi","Sintbu"
"Ustersbach","Sintbu"
"Bafore","Sintbu"
"Wellmitz","Sintbu"
"Dittisham","Sintbu"
"Tozgir","Sintbu"
"Arakse","Sintbu"
"Adjelon","Sintbu"
"Bailingnao","Sintbu"
"Rutsava","Sintbu"
"Benifla","Sintbu"
"Carboneros","Sintbu"
"Farasaouna","Sintbu"
"Bakkeveen","Sintbu"
"Phulbaroda","Sintbu"
"Lumbo","Sintbu"
"Padan","Sintbu"
"Istakh","Sintbu"
"Barembach","Sintbu"
"Lezhani","Sintbu"
"Monseguela","Sintbu"
"Chicura","Sintbu"
"Jungdul","Sintbu"
"Ranjewala","Sintbu"
"Jafarabad","Sintbu"
"Yelyunino","Sintbu"
"Motto","Sintbu"
"Huijiacuo","Sintbu"
"Leley","Sintbu"
"Tulema","Sintbu"
"Tolonundoo","Sintbu"
"Laonmanay","Sintbu"
"Redondo","Sintbu"
"Bouzi","Sintbu"
"Aqchashmeh","Sintbu"
"Chuantou","Sintbu"
"Duchowez","Sintbu"
"Kourkoude","Sintbu"
"Glicoria","Sintbu"
"Laurignano","Sintbu"
"Kolodziaz","Sintbu"
"Myinkyan","Sintbu"
"Yingbu","Sintbu"
"Mayanze","Sintbu"
"Sambalahy","Sintbu"
"Kamuka","Sintbu"
"Gudouri","Sintbu"
"Zhaosancun","Sintbu"
"Xiaoren","Sintbu"
"Pumali","Sintbu"
"Kamasej","Sintbu"
"Bianoune","Sintbu"
"Paralar","Sintbu"
"Kislitsyn","Isnor"
"Dalry","Isnor"
"Coyotillo","Isnor"
"Musima","Isnor"
"Biso","Isnor"
"Mirjapur","Isnor"
"Madenevi","Isnor"
"Bodonci","Isnor"
"Masulo","Isnor"
"Campurjo","Isnor"
"Koinya","Isnor"
"Madaras","Isnor"
"Ranutovac","Isnor"
